ID,a_games,a_goals,a_mins,a_tir,b_games,b_goals,b_mins,b_tir,c_goals,last_season,player,position,team
7wPsWSR7kc2n6SNH5,0.9,0.9,40.5,0.010000000000000002,24.699999999999996,0.9,0.9,9.0,45.0,4,Pontus Dahlberg,GKP,Watford
Y7Syr553Kk2wRSusN,2.0999999999999996,0.9,90.9,0.03891566265060241,23.5,0.9,2.0999999999999996,2.0999999999999996,5.100000000000001,4,Marc Navarro,DEF,Watford
D3bkwfyEHGKspM7TK,9.299999999999999,0.9,641.7,0.43765558397271953,16.3,1.4999999999999998,9.299999999999999,9.299999999999999,15.3,4,Adam Masina,DEF,Watford
daBrdWvstktvNsqKm,11.1,1.4999999999999998,488.7,0.5648705897327139,14.5,2.0999999999999996,11.1,11.1,11.700000000000001,4,Ken Sema,MID,Watford
8TJzu95dyGk87tNRL,10.9,1.4999999999999998,780.8999999999999,0.4754069499285658,14.7,0.9,10.9,10.9,12.900000000000002,4,Ryan Fredericks,DEF,West Ham
f8siBNPK4NXYAP2g3,21.7,1.4999999999999998,1912.5,0.9233333333333332,3.899999999999999,0.9,21.7,21.7,32.699999999999996,4,Issa Diop,DEF,West Ham
GoxYvhP8doBrQ2zRN,6.3,2.0999999999999996,314.1,0.07989997958767095,19.299999999999997,1.4999999999999998,6.3,6.3,3.9,4,Andriy Yarmolenko,MID,West Ham
uksn5hWtmsgfzwamF,15.7,1.4999999999999998,1338.3,0.6530303030303031,9.9,0.9,15.7,15.7,23.699999999999996,4,Fabián Balbuena,DEF,West Ham
fpyE8vi6a4gHN2wSr,23.5,6.3,1932.5,0.9383013792971612,2.099999999999999,4.5,23.5,23.5,21.299999999999997,4,Felipe Anderson Pereira Gomes,MID,West Ham
iiR2ZiZjAYZw3692T,1.4999999999999998,0.9,94.5,0.010000000000000002,24.099999999999998,0.9,1.4999999999999998,9.6,46.20000000000001,4,John Ruddy,GKP,Wolves
XcYi74oMCefNbstir,1.4999999999999998,0.9,41.099999999999994,0.010000000000000002,24.099999999999998,0.9,1.4999999999999998,9.6,45.599999999999994,4,Will Norris,GKP,Wolves
RbAJFHfZ2cw6djbmj,23.5,3.3,2031.3,1.1011111111111112,2.099999999999999,0.9,23.5,23.5,26.1,4,Willy Boly,DEF,Wolves
6CLiW9npFcyTdKLXN,24.699999999999996,3.3,2015.1000000000001,0.92799147085238,0.9,5.1,24.699999999999996,24.699999999999996,23.699999999999996,4,Matt Doherty,DEF,Wolves
cHAHaW73Rwjov3X6D,13.299999999999999,2.0999999999999996,734.6999999999999,0.7012642224563306,12.299999999999999,0.9,13.299999999999999,13.299999999999999,17.7,4,Romain Saïss,DEF,Wolves
Dv2BZCuZWscYh3FmR,22.299999999999997,1.4999999999999998,1966.5,0.7388888888888888,3.300000000000001,0.9,22.299999999999997,22.299999999999997,30.299999999999997,4,Ryan Bennett,DEF,Wolves
brWf9uRcmvsG49hGk,24.699999999999996,0.9,2182.5,0.42777777777777776,0.9,0.9,24.699999999999996,24.699999999999996,32.699999999999996,4,Conor Coady,DEF,Wolves
Zxy8pev2dhfFkHtMm,11.1,0.9,462.29999999999995,0.4857460317460317,14.5,0.9,11.1,11.1,15.899999999999999,4,Rúben Gonçalo Silva Nascimento Vinagre,DEF,Wolves
nvN8QncLonpjybufD,21.7,6.3,1526.7,0.36557604846655395,3.899999999999999,5.699999999999999,21.7,22.6,14.7,4,Diogo Jota,FWD,Wolves
aFijthPopBLo9P9Zy,22.899999999999995,3.3,1924.1000000000001,1.0783043940467754,2.7,2.7,22.899999999999995,22.899999999999995,21.299999999999997,4,Rúben Diogo da Silva Neves,MID,Wolves
srBbbWEWP83dWmBXz,14.7,2.7,446.69999999999993,0.18130390197901622,10.9,1.4999999999999998,14.7,14.7,9.9,4,Ivan Cavaleiro,MID,Wolves
iAMynwBLAC9MZGNeu,15.899999999999999,1.4999999999999998,840.2999999999998,0.33570745661159107,9.700000000000001,2.0999999999999996,15.899999999999999,15.899999999999999,12.899999999999999,4,Hélder Costa,MID,Wolves
6G7Y9NZPozoE7aHYp,24.699999999999996,8.7,1997.6999999999998,0.42033572752886905,0.9,6.8999999999999995,24.699999999999996,25.599999999999998,14.7,4,Raúl Jiménez,FWD,Wolves
ZjrwbZmbYcoTvspNP,16.499999999999996,0.9,427.5,0.20706349206349203,9.1,1.4999999999999998,16.499999999999996,16.499999999999996,12.900000000000002,4,Morgan Gibbs-White,MID,Wolves
CL9RGto2mejqcxGTE,24.099999999999998,0.9,2128.5,0.04111111111111111,1.5000000000000013,0.9,24.099999999999998,32.2,72.0,4,Rui Pedro dos Santos Patrício,GKP,Wolves
4mj7pxrH4vZbs8mWe,17.7,0.9,1098.9,0.9743192799039335,7.900000000000001,0.9,17.7,17.7,14.7,4,Yves Bissouma,MID,Brighton
aQ642xLKuEEiuuwJL,24.699999999999996,0.9,2130.5,0.03,0.9,0.9,24.699999999999996,32.8,100.39999999999999,4,Alisson Ramses Becker,GKP,Liverpool
RH5cPhFFW5s7P97F9,9.1,0.9,494.1,0.5098872460376557,16.499999999999996,0.9,9.1,9.1,9.7,4,Diego Rico,DEF,Bournemouth
5wZTP5A83DPm9NvDx,12.299999999999999,0.9,648.9,0.4724463861794471,13.299999999999999,0.9,12.299999999999999,12.299999999999999,8.7,4,Alireza Jahanbakhsh,MID,Brighton
DfErahJtReG3t3EhB,11.1,1.4999999999999998,801.3000000000002,0.42973856209150324,25.9,2.7,11.1,10.499999999999998,14.668421052631581,4,Matt Targett,DEF,Aston Villa
egcvofts3m843z3Sp,24.699999999999996,1.4999999999999998,1948.5,1.1792350709633952,0.9,5.699999999999999,24.699999999999996,24.699999999999996,21.299999999999997,4,João Filipe Iria Santos Moutinho,MID,Wolves
sfmPS3D2GHYNnTphm,10.9,1.4999999999999998,467.49999999999994,0.41085778755539837,26.1,2.5,10.9,10.9,11.7,4,Andreas Pereira,MID,Man United
5Tf7RYjg7K8jogf4m,16.3,3.3,1330.4999999999998,1.070184766214178,9.299999999999999,1.4999999999999998,16.3,16.3,21.300000000000004,4,Fabian Schär,DEF,Newcastle
7Xa2WKKwbWd7LZmKq,21.7,1.4999999999999998,1793.7,0.9877168095180144,3.899999999999999,2.7,21.7,21.7,25.499999999999996,4,Jonathan Castro Otto,DEF,Wolves
qveCBsC8mNzw5sdXJ,22.899999999999995,3.3,1908.9,0.9809956709956711,2.7,3.9,22.899999999999995,22.899999999999995,27.900000000000002,4,Lucas Digne,DEF,Everton
zNDKQMnBbbo24r5L2,19.299999999999997,1.4999999999999998,973.4999999999999,0.7534405865411266,6.3,2.7,19.299999999999997,19.299999999999997,17.7,4,Max Meyer,MID,Crystal Palace
FPuxGyqXhtFHJZG33,11.1,1.4999999999999998,348.8999999999999,0.3186245033505308,14.5,0.9,11.1,12.0,6.8999999999999995,4,Yoshinori Muto,FWD,Newcastle
